 SHOPPERS STOP LTD   ,,
 FLOATING WALLS      ,FURNITURE,
 AMAZONS SVCS        ,AMAZON,
 FLIPKART INTERNET PV,FLIPKART,
 SANA SUPER MART     ,GROCERY,
 HOME STOP RETAIL FOR,FURNITURE,
 WWW BIGBASKET COM   ,GROCERY,
 RAZORPAY PAYMENTS   ,,
 LIFE STYLE INTERNATI,CLOTH,
 WWW.IRCTC.CO.IN INR ,TRAVEL,
 INSTAKART SERVICES P,FLIPKART,
 HYPERCITY RETAIL IND,GROCERY,
 BENISON SUPER MARKET,GROCERY,
 WWW GOIBIBO COM     ,TRAVEL,
 AIRTEL              ,PHONE,
 CROMA               ,FURNITURE,
 WWW SWIGGY IN       ,FOOD,DELIVERY
 SPICEJET LIMITED    ,TRAVEL,
 CLEARTRIP PRIVATE LT,TRAVEL,
 LE CHATEAU          ,TRAVEL,
 WWW.ALIEXPRESS.COM  ,FURNITURE,
 INTEREST            ,STUPID,
 KIDZON              ,TOYS,
 CHRISTIAN MEDICAL CO,MEDICAL,
 M K AHMED FRUITS AND,VEGGIES,
 HATHWAY CABLE & DATA,TV,
 SURYA NISSAN        ,CAR,
 LEVIS RMM BANGALORE ,CLOTH,
 CENTRAL             ,CLOTH,
 INDIGO              ,TRAVEL,
 RELIGARE WELLNESS LT,MEDICAL,
 PayU                ,,
 NALLI SILK SAREES   ,CLOTH,
 SM LIGHTS AND APPLIA,FURNITURE,
 Citrus*hathway      ,,
 SAPNA BOOK HOUSE    ,BOOK,
 APOLLO PHARMACY     ,MEDICAL,
 NIKE                ,CLOTH,
 RAJASHREE PETROLEUM ,CAR,
 HAIKU MOTORS PVT LTD,CAR,
 www.bigbasket.com   ,GROCERY,
 SWIGGY.IN           ,FOOD,DELIVERY
 AMAZON SELLER SERVIC,AMAZON,
 HOME TOWN           ,FURNITURE,
 WILDCRAFT           ,CLOTH,
 R R CYCLE JUNCTION  ,CAR,
 AFFORD HEALTHCARE SO,MEDICAL,
 CAFE COFFEE DAY     ,FOOD,COFFEE
 FULLOTOYS EDUTAINMEN,TOYS,
 ANAND SWEETS & SAVOU,FOOD,SWEET
 REAL MART           ,GROCERY,
 SOUTH INDIES RESTAUR,FOOD,EATOUT
 FARICO FAMILY MALL; ,CLOTH,
 www.swiggy.in       ,FOOD,DELIVERY
 SRI VARSHATH        ,,
 APOLLO HOSPITALS ƒ??BA,MEDICAL,
 PRIORITY CONCEPTS   ,,
 INNOVATIVE RETAIL CO,,
 Mkdabbawala         ,FOOD,DELIVERY
 BHARTI AIRTEL LTD   ,PHONE,
 videocond2h_TPSL    ,TV,
 SRI DURGA ASSOCIATES,,
 FORT JADHAV GADH    ,FOOD,EATOUT
 INNOVATIVE FILM CITY,TRAVEL,
 CROSSWORD BOOKSTORES,BOOK,
 flintobox_PayU      ,TOYS,
 BIGBASKET.COM       ,GROCERY,
 SANGEETHA           ,PHONE,
 LITTLE HOME         ,FOOD,EATOUT
 SERVICE TAX         ,TAX,
 FABINDIA OVERSEAS PV,CLOTH,
 NATIONWIDE PRIMARY H,MEDICAL,
 VECTOR Eƒ??COMMERCE PV,,
 ENRICH HAIR & SKIN S,SALON,
 JUST BAKE           ,FOOD,SWEET
 MAHINDRA RETAIL PVT ,CAR,
 FRESH AND MORE SUPER,GROCERY,
 SAPNA BOOK HOUSE PVT,BOOK,
 UDEMY.COM           ,BOOK,
 Netflix.com         ,TV,
 VIDEOCON D2H LIMIT I,TV,
 BIG BAZAAR          ,GROCERY,
 PUNJABI TIMES       ,FOOD,EATOUT
 V3 VENTURES         ,,
 GIRIAS CHILDRENS EXP,TOYS,
 MEDPLUSƒ??OPTIVALƒ??INKA,MEDICAL,
 IDEA PAYMENT        ,PHONE,
 FORTIS HOSPITALS LTD,MEDICAL,
 freshmenu_PayU      ,FOOD,DELIVERY
 SUN SUPER MARKET    ,GROCERY,
 BUNDL TECHNOLOGIES P,,
 mkdabbawala_PayTM   ,FOOD,DELIVERY
 ORIENTAL CUSINES PVT,FOOD,EATOUT
 BENGALURU LEISURE PR,,
 COSTA COFFEE        ,FOOD,COFFEE
 CitruspayZivame     ,CLOTH,
 OOMPH HAIR AND BEAUT,SALON,
 SIDDA SRI ENTERPRISE,,
 JFK TRUST HANES     ,CLOTH,
 VIRAJ HOTELS        ,,
 BOOKMYSHOW BILLDESK ,TV,
 KALMANE KOFFEES     ,FOOD,COFFEE
 AMETHYST CAFE P LTD ,FOOD,COFFEE
 TATA STARBUCKS LIMIT,FOOD,COFFEE
 BESCOM BILLDESK     ,ELECTRICITY,
 FRESH & MORE SUPER M,GROCERY,
 SPOONFUL OF SUGAR   ,FOOD,SWEET
 TRUST CHEMISTS Koram,MEDICAL,
 NICHE BEAUTE SOLUTIO,SALON,
 VISION HEALTH CARE  ,MEDICAL,
 LATE CHARGES        ,STUPID,
 Retail_ccavenue_com ,,
 IRCTC.CO.IN 00000000,TRAVEL,
 ENRICH HAIR& SKIN SO,SALON,
 P.K. HOSPITALITY SER,,
 VIDEOCOND2H LTD     ,TV,
 Faasos APP          ,FOOD,DELIVERY
 TOONZ RETAIL INDIA P,TOYS,
 UBER INR            ,CAR,
 R & R SALONS PRIVATE,SALON,
 MKDABBAWALA         ,FOOD,DELIVERY
 www.freshmenu.com   ,FOOD,DELIVERY
 KRISPY KREME        ,FOOD,SWEET
 BHARTI AIRTEL LTDƒ??TA,PHONE,
 WWW URBANLADDER COM ,FURNITURE,
 HEALTH AND GLOW     ,SALON,
 ART BLEND CAFE      ,FOOD,EATOUT
 MEDPLUS             ,MEDICAL,
 Amazon Servicesƒ??Kind,AMAZON,
 INOX LEISURE LTD    ,TV,
 NARAYANA NETHRALAY  ,MEDICAL,
 E K RETAIL          ,GROCERY,
 HOME TOWNƒ??CTƒ??BENGALU,FURNITURE,
 PAYUƒ??WWW.PAYU.IN    ,,
 TATA SKY            ,TV,
 TATA SKY LTD        ,TV,
 Heels And Toes2.    ,CLOTH,
 SUBWAY              ,FOOD,DELIVERY
 PARADISE FOOD COURT ,FOOD,EATOUT
 PIZZA HUT PHD       ,FOOD,DELIVERY
 KANTI SWEETS        ,FOOD,SWEET
 PROGRESSIVE FOODS IN,FOOD,DELIVERY
 DIGIPHOTO SNOW CITY ,TRAVEL,
 K G SUDHAKAR KANCHAN,,
 PAYU MONEY          ,,
 SPENCERS RETAIL LIMI,GROCERY,
 AMMAS PASTRIES      ,FOOD,SWEET
 HM LEISURE          ,,
 SHIV SAGAR          ,FOOD,EATOUT
 MC DONALDS          ,FOOD,EATOUT
 BARISTA COFFEE      ,FOOD,COFFEE
 MEDPLUSOPTIVAL ƒ?? IN,MEDICAL,
 CITRUS PAY QUIKR    ,,
 SER TAX & CESS 14.5%,TAX,
 SER TAX & CESS 15%  ,TAX,
 WWW.IRCTC.CO.IN     ,TRAVEL,
 SERVICE TAX REVERSAL,TAX,
 Amazon Cashback Nov1,AMAZON,
 Online Payment      ,PAYMENT,
,,
